row,Date,Speaker,Process,Recipient,codeString
899,507,H,R,X,TP1.000
900,507,C,R,X,TP1.000
901,507,X,R,C,OF1.000
901,507,X,R,C,TP1.000
902,507,R,R,GT,OF1.000
903,507,H,R,R,OF1.000
904,507,R,R,GT,OF1.000
905,507,X,R,R,OF1.000
906,507,C,R,GT,OF1.000
907,507,R,R,C,OF1.000
908,507,C,R,R,OF1.000
909,507,R,R,C,UC1.000
910,507,C,R,R,OF1.000
911,507,,R,,OF1.000
912,507,H,R,GT,OF1.000
913,507,X,R,H,OF1.000
913,507,X,R,H,TP1.000
915,507,R,R,X,0.333EAGOTP
916,507,H,R,R,EA1.000
917,507,X,R,H,TP1.000
918,507,H,R,X,IE1.000
920,507,C,R,UC,IE1.000
921,507,X,R,H,TP1.000
922,507,R,R,UC,IE1.000
925,507,C,R,GT,0.333EAIETP
926,507,R,R,C,TP1.000
927,507,H,R,GT,TP1.000
928,507,X,R,H,IE1.000
929,507,C,R,GT,IE1.000
931,507,H,R,R,IE1.000
932,507,H,R,R,TP1.000
933,507,R,R,H,TP1.000
934,507,H,R,R,IE1.000
935,507,R,R,H,OF1.000
936,507,H,R,R,OF1.000
937,507,R,R,H,OF1.000
937,507,R,R,H,TP1.000
938,507,X,R,UC,TP1.000
939,507,C,R,X,IE1.000
940,507,X,R,C,TP1.000
941,507,C,R,X,TP1.000
943,507,H,R,GT,TP1.000
944,507,X,R,C,UC1.000
945,507,H,R,GT,TP1.000
946,507,C,R,GT,TP1.000
947,507,X,R,UC,TP1.000
950,507,H,R,GT,TP1.000
951,507,R,R,C,TP1.000
952,507,C,R,R,TP1.000
953,507,R,R,X,TP1.000
954,507,R,R,X,UC1.000
955,507,X,R,R,OF1.000
956,507,C,R,X,TP1.000
957,507,X,R,C,IE1.000
958,507,R,R,X,OF1.000
959,507,X,R,R,0.333IEKSTP
960,507,R,R,X,OF1.000
961,507,X,R,R,TP1.000
962,507,C,R,X,TP1.000
963,507,X,R,R,IE1.000
964,507,R,R,X,IE1.000
965,507,X,R,R,TP1.000
966,507,R,R,H,TP1.000
967,507,H,R,R,TP1.000
